,0,1
0,3.312,5.763
1,3.333,5.554
2,3.337,5.291
3,3.379,5.324
4,3.562,5.658
5,3.312,5.386
6,3.259,5.563
7,3.302,5.42
8,3.465,6.053
9,3.505,5.884
10,3.242,5.714
11,3.201,5.438
12,3.199,5.439
13,3.156,5.479
14,3.114,5.482
15,3.333,5.351
16,3.383,5.119
17,3.514,5.527
18,3.466,5.205
19,3.049,5.226
20,3.129,5.658
21,3.168,5.52
22,3.507,5.618
23,2.936,5.099
24,3.245,5.789
25,3.421,5.833
26,3.026,5.395
27,2.956,5.395
28,3.221,5.541
29,3.065,5.516
30,2.975,5.454
31,3.371,5.757
32,3.186,5.717
33,3.15,5.585
34,3.328,5.712
35,3.485,5.709
36,3.464,5.826
37,3.683,5.832
38,3.288,5.656
39,3.298,5.397
40,3.156,5.348
41,3.158,5.351
42,3.201,5.138
43,3.396,5.877
44,3.462,5.579
45,3.155,5.376
46,3.393,5.701
47,3.377,5.57
48,3.291,5.545
49,3.258,5.678
50,3.272,5.585
51,3.434,5.674
52,3.113,5.715
53,3.199,5.504
54,3.113,5.741
55,3.212,5.702
56,3.377,5.388
57,3.412,5.384
58,3.419,5.662
59,3.032,5.159
60,2.85,5.008
61,2.879,4.902
62,3.042,5.076
63,3.07,5.395
64,3.026,5.262
65,3.119,5.139
66,3.19,5.63
67,3.158,5.609
68,3.153,5.569
69,2.882,5.412
70,3.561,6.191
71,3.484,5.998
72,3.594,5.978
73,3.93,6.154
74,3.486,6.017
75,3.438,5.927
76,3.403,6.064
77,3.814,6.579
78,3.639,6.445
79,3.566,5.85
80,3.467,5.875
81,3.857,6.006
82,3.864,6.285
83,3.772,6.384
84,3.801,6.366
85,3.651,6.173
86,3.764,6.084
87,3.67,6.549
88,4.033,6.573
89,4.032,6.45
90,3.785,6.581
91,3.796,6.172
92,3.693,6.272
93,3.86,6.037
94,3.485,6.666
95,3.463,6.139
96,3.81,6.341
97,3.552,6.449
98,3.512,6.271
99,3.684,6.219
100,3.525,5.718
101,3.694,5.89
102,3.892,6.113
103,3.681,6.369
104,3.755,6.248
105,3.786,6.037
106,3.806,6.152
107,3.573,6.033
108,3.763,6.675
109,3.674,6.153
110,3.769,6.107
111,3.791,6.303
112,3.902,6.183
113,3.737,6.259
114,3.991,6.563
115,3.719,6.416
116,3.897,6.051
117,3.815,6.245
118,3.769,6.227
119,3.857,6.493
120,3.962,6.315
121,3.563,6.059
122,3.387,5.762
123,3.771,5.98
124,3.582,5.363
125,3.869,6.111
126,3.594,6.285
127,3.687,5.979
128,3.773,6.513
129,3.69,5.791
130,3.755,5.979
131,3.825,6.144
132,3.268,5.884
133,3.395,5.845
134,3.408,5.776
135,3.465,5.477
136,3.574,6.145
137,3.231,5.92
138,3.286,5.832
139,3.472,5.872
140,2.994,5.472
141,3.073,5.541
142,3.074,5.389
143,2.967,5.224
144,2.777,5.314
145,2.687,5.279
146,2.719,5.176
147,2.967,5.267
148,2.911,5.386
149,2.648,5.317
150,2.84,5.263
151,2.776,5.405
152,2.833,5.408
153,2.693,5.22
154,2.755,5.175
155,2.675,5.25
156,2.849,5.053
157,2.745,5.394
158,2.678,5.444
159,2.695,5.304
160,2.879,5.451
161,2.81,5.35
162,2.847,5.267
163,2.968,5.333
164,2.794,5.011
165,2.941,5.105
166,2.897,5.319
167,2.837,5.417
168,2.668,5.176
169,2.715,5.09
170,2.701,5.325
171,2.845,5.167
172,2.763,5.088
173,2.763,5.136
174,2.641,5.278
175,2.821,4.981
176,2.71,5.186
177,2.642,5.145
178,2.758,5.18
179,2.893,5.357
180,2.775,5.09
181,3.017,5.236
182,2.909,5.24
183,2.85,5.108
184,3.026,5.495
185,2.683,5.363
186,2.716,5.413
187,2.675,5.088
188,2.821,5.089
189,2.787,4.899
190,2.717,5.046
191,2.804,5.091
192,2.953,5.132
193,2.63,5.18
194,2.975,5.236
195,3.126,5.16
196,3.054,5.224
197,3.128,5.32
198,2.911,5.41
199,3.155,5.073
200,2.989,5.219
201,3.135,4.984
202,2.81,5.009
203,3.091,5.183
204,2.96,5.204
205,2.981,5.137
206,2.795,5.14
207,3.232,5.236
208,2.836,5.175
209,2.974,5.243
